"_","ST","County","StateFIPS","CountyFIPS","Population","Deaths","U_C_Rate"
"","","","","","","",""
"2008-2014, United States","","","","","","",""
"Death Rates per 100,000 Population","","","","","","",""
"All Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages","","","","","","",""
"Annualized Crude Rate for United States: 12.63","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  These rates are suppressed for counties (see legend above); such rates in the title have an asterisk.","","","","","","",""
"","","","","","","",""
"m4687721 created 08DEC16:23:05     downloaded 07AUG20:18:29","","","","","","",""
"","","","","","","",""
"Types of Rates:    U_C_Rate = Unsmoothed, Crude Rate.","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","ST","County","StateFIPS","CountyFIPS","Population","Deaths","U_C_Rate"
"","LA","DE SOTO","22","31","187768","24","12.78173065"
"","LA","EAST BATON ROUGE","22","33","3088652","298","9.648221943"
"","LA","EAST CARROLL","22","35","53836","",""
"","LA","EAST FELICIANA","22","37","140812","",""
"","LA","EVANGELINE","22","39","237302","53","22.33440932"
"","LA","FRANKLIN","22","41","144589","",""
"","LA","GRANT","22","43","155510","24","15.43309112"
"","LA","IBERIA","22","45","515536","65","12.60823686"
"","LA","IBERVILLE","22","47","233947","26","11.1136283"
"","LA","JACKSON","22","49","113201","",""
"","LA","JEFFERSON","22","51","3036103","377","12.41723354"
"","LA","JEFFERSON DAVIS","22","53","220444","22","9.97985883"
"","LA","LAFAYETTE","22","55","1574449","185","11.75014243"
"","LA","LAFOURCHE","22","57","677479","102","15.05581723"
"","LA","LA SALLE","22","59","103734","",""
"","LA","LINCOLN","22","61","328077","25","7.62016234"
"","LA","LIVINGSTON","22","63","910331","162","17.79572485"
"","LA","MADISON","22","65","84410","",""
"","LA","MOREHOUSE","22","67","193145","21","10.87266044"
"","LA","NATCHITOCHES","22","69","275519","24","8.71083301"
"","LA","ORLEANS","22","71","2467844","258","10.45446957"
"","LA","OUACHITA","22","73","1080981","134","12.39614757"
"","LA","PLAQUEMINES","22","75","163056","",""
"","LA","POINTE COUPEE","22","77","159003","32","20.12540644"
"","LA","RAPIDES","22","79","922699","118","12.78856919"
"","LA","RED RIVER","22","81","63014","",""
"","LA","RICHLAND","22","83","145587","",""
"","LA","SABINE","22","85","169751","31","18.26204264"
"","LA","ST BERNARD","22","87","266430","30","11.25999324"
"","LA","ST CHARLES","22","89","368226","49","13.30704513"
"","LA","ST HELENA","22","91","76979","",""
"","LA","ST JAMES","22","93","153306","",""
"","LA","ST JOHN THE BAPTIST","22","95","316270","30","9.48556613"
"","LA","ST LANDRY","22","97","585726","102","17.41428586"
"","LA","ST MARTIN","22","99","367939","51","13.86099326"
"","LA","ST MARY","22","101","377910","48","12.70143685"
"","LA","ST TAMMANY","22","103","1658712","248","14.95135985"
"","LA","TANGIPAHOA","22","105","858778","101","11.76089746"
"","LA","TENSAS","22","107","35743","",""
"","LA","TERREBONNE","22","109","784317","90","11.47495209"
"","LA","UNION","22","111","158309","28","17.68692873"
"","LA","VERMILION","22","113","408936","44","10.75962987"
"","LA","VERNON","22","115","362714","43","11.85507039"
"","LA","WASHINGTON","22","117","327928","42","12.80768949"
"","LA","WEBSTER","22","119","286811","48","16.73575979"
"","LA","WEST BATON ROUGE","22","121","168179","23","13.67590484"
"","LA","WEST CARROLL","22","123","80932","",""
"","LA","WEST FELICIANA","22","125","108829","",""
"","LA","WINN","22","127","105821","",""
"","ME","ANDROSCOGGIN","23","1","753506","109","14.46571096"
"","ME","AROOSTOOK","23","3","498230","86","17.26110431"
"","ME","CUMBERLAND","23","5","1984688","277","13.95685367"
"","ME","FRANKLIN","23","7","214342","28","13.06323539"
"","ME","HANCOCK","23","9","381842","59","15.45141708"
"","ME","KENNEBEC","23","11","851863","133","15.61283915"
"","ME","KNOX","23","13","278441","44","15.8022705"
"","ME","LINCOLN","23","15","240656","46","19.11442058"
"","ME","OXFORD","23","17","403696","63","15.60580239"
"","ME","PENOBSCOT","23","19","1075369","159","14.78562242"
"","ME","PISCATAQUIS","23","21","121317","25","20.60716965"
"","ME","SAGADAHOC","23","23","247010","38","15.38399255"
"","ME","SOMERSET","23","25","363229","61","16.79381327"
"","ME","WALDO","23","27","271893","48","17.6540036"
"","ME","WASHINGTON","23","29","228243","50","21.90647687"
"","ME","YORK","23","31","1389448","247","17.77684375"
"","MD","ALLEGANY","24","1","519719","65","12.50675846"
"","MD","ANNE ARUNDEL","24","3","3807527","428","11.24089205"
"","MD","BALTIMORE","24","5","5687857","597","10.49604447"
"","MD","CALVERT","24","9","624795","89","14.24467225"
"","MD","CAROLINE","24","11","229789","",""
"","MD","CARROLL","24","13","1171369","144","12.29330809"
"","MD","CECIL","24","15","710013","104","14.64761913"
"","MD","CHARLES","24","17","1042818","122","11.69906925"
"","MD","DORCHESTER","24","19","227944","25","10.96760608"
"","MD","FREDERICK","24","21","1655708","181","10.93187929"
"","MD","GARRETT","24","23","210101","",""
"","MD","HARFORD","24","25","1726231","213","12.33902068"
"","MD","HOWARD","24","27","2056293","167","8.121410713"
"","MD","KENT","24","29","140348","24","17.10035056"
"","MD","MONTGOMERY","24","31","6923037","484","6.991151427"
"","MD","PRINCE GEORGES","24","33","6127665","379","6.185063968"
"","MD","QUEEN ANNES","24","35","336719","45","13.36425922"
"","MD","ST MARYS","24","37","746967","89","11.91485032"
"","MD","SOMERSET","24","39","183872","",""
"","MD","TALBOT","24","41","264193","34","12.86937958"
"","MD","WASHINGTON","24","43","1037872","142","13.68184131"
"","MD","WICOMICO","24","45","696895","77","11.04901025"
"","MD","WORCESTER","24","47","360279","49","13.60057067"
"","MD","BALTIMORE CITY","24","510","4351690","369","8.4794643"
"","MA","BARNSTABLE","25","1","1508878","210","13.91762621"
"","MA","BERKSHIRE","25","3","912864","105","11.50226102"
"","MA","BRISTOL","25","5","3848316","394","10.23824447"
"","MA","DUKES","25","7","117061","",""
"","MA","ESSEX","25","9","5258103","431","8.196872522"
"","MA","FRANKLIN","25","11","499520","52","10.40999359"
"","MA","HAMPDEN","25","13","3256397","341","10.47169617"
"","MA","HAMPSHIRE","25","15","1115977","106","9.498403641"
"","MA","MIDDLESEX","25","17","10667207","814","7.630863449"
"","MA","NANTUCKET","25","19","72481","",""
"","MA","NORFOLK","25","21","4740509","361","7.615216003"
"","MA","PLYMOUTH","25","23","3486031","334","9.581096668"
"","MA","SUFFOLK","25","25","5154760","322","6.246653578"
"","MA","WORCESTER","25","27","5618486","500","8.899194552"
"","MI","ALCONA","26","1","75733","",""
"","MI","ALGER","26","3","66601","",""
"","MI","ALLEGAN","26","5","784072","94","11.98869492"
"","MI","ALPENA","26","7","206137","32","15.5236566"
"","MI","ANTRIM","26","9","164744","27","16.38906425"
"","MI","ARENAC","26","11","110639","22","19.88448919"
"","MI","BARAGA","26","13","61417","",""
"","MI","BARRY","26","15","414886","69","16.63107456"
"","MI","BAY","26","17","751680","97","12.90442742"
"","MI","BENZIE","26","19","122567","",""
"","MI","BERRIEN","26","21","1094407","128","11.69583162"
"","MI","BRANCH","26","23","311590","53","17.00953176"
"","MI","CALHOUN","26","25","949510","144","15.16571705"
"","MI","CASS","26","27","365149","57","15.61006603"
"","MI","CHARLEVOIX","26","29","182578","30","16.43133346"
"","MI","CHEBOYGAN","26","31","182244","38","20.85116657"
"","MI","CHIPPEWA","26","33","271834","51","18.76145"
"","MI","CLARE","26","35","215782","29","13.43948986"
"","MI","CLINTON","26","37","531519","36","6.773041039"
"","MI","CRAWFORD","26","39","98270","",""
"","MI","DELTA","26","41","258680","29","11.21076233"
"","MI","DICKINSON","26","43","183473","34","18.53133704"
"","MI","EATON","26","45","755858","96","12.7007983"
"","MI","EMMET","26","47","230264","32","13.89709203"
"","MI","GENESEE","26","49","2955153","383","12.96041186"
"","MI","GLADWIN","26","51","179658","21","11.68887553"
"","MI","GOGEBIC","26","53","113133","35","30.93703871"
"","MI","GRAND TRAVERSE","26","55","617914","86","13.91779439"
"","MI","GRATIOT","26","57","295413","35","11.84781983"
"","MI","HILLSDALE","26","59","325186","48","14.76078306"
"","MI","HOUGHTON","26","61","256281","31","12.09609764"
"","MI","HURON","26","63","229431","37","16.12685295"
"","MI","INGHAM","26","65","1974896","205","10.38029344"
"","MI","IONIA","26","67","448961","65","14.47787224"
"","MI","IOSCO","26","69","180314","35","19.41058376"
"","MI","IRON","26","71","82121","",""
"","MI","ISABELLA","26","73","491878","44","8.945307576"
"","MI","JACKSON","26","75","1120671","172","15.34794779"
"","MI","KALAMAZOO","26","77","1769790","231","13.05239605"
"","MI","KALKASKA","26","79","120816","",""
"","MI","KENT","26","81","4277384","440","10.28666119"
"","MI","KEWEENAW","26","83","15240","",""
"","MI","LAKE","26","85","80417","",""
"","MI","LAPEER","26","87","619625","102","16.4615695"
"","MI","LEELANAU","26","89","152133","",""
"","MI","LENAWEE","26","91","697947","74","10.60252426"
"","MI","LIVINGSTON","26","93","1278555","165","12.90519375"
"","MI","LUCE","26","95","45884","",""
"","MI","MACKINAC","26","97","77832","",""
"","MI","MACOMB","26","99","5923894","821","13.85912712"
"","MI","MANISTEE","26","101","172682","33","19.11027206"
"","MI","MARQUETTE","26","103","470956","63","13.37704584"
"","MI","MASON","26","105","200831","46","22.90483043"
"","MI","MECOSTA","26","107","301408","46","15.26170506"
"","MI","MENOMINEE","26","109","167683","24","14.31272103"
"","MI","MIDLAND","26","111","585307","73","12.4720873"
"","MI","MISSAUKEE","26","113","104886","",""
"","MI","MONROE","26","115","1059465","133","12.55350578"
"","MI","MONTCALM","26","117","442441","60","13.56113018"
"","MI","MONTMORENCY","26","119","67236","",""
"","MI","MUSKEGON","26","121","1203511","148","12.29735333"
"","MI","NEWAYGO","26","123","338502","53","15.65721916"
"","MI","OAKLAND","26","125","8504026","1031","12.12366942"
"","MI","OCEANA","26","127","185570","25","13.47200517"
"","MI","OGEMAW","26","129","150661","30","19.91225334"
"","MI","ONTONAGON","26","131","46028","",""
"","MI","OSCEOLA","26","133","163835","",""
"","MI","OSCODA","26","135","60336","",""
"","MI","OTSEGO","26","137","169210","25","14.77454051"
"","MI","OTTAWA","26","139","1873507","164","8.753636896"
"","MI","PRESQUE ISLE","26","141","92923","23","24.75167612"
"","MI","ROSCOMMON","26","143","170063","37","21.75664313"
"","MI","SAGINAW","26","145","1391725","151","10.84984462"
"","MI","ST CLAIR","26","147","1135375","176","15.50148629"
"","MI","ST JOSEPH","26","149","428527","63","14.70152406"
"","MI","SANILAC","26","151","299061","47","15.7158573"
"","MI","SCHOOLCRAFT","26","153","58692","",""
"","MI","SHIAWASSEE","26","155","490011","89","18.16285757"
"","MI","TUSCOLA","26","157","386434","48","12.42126728"
"","MI","VAN BUREN","26","159","531042","75","14.1231767"
"","MI","WASHTENAW","26","161","2441649","223","9.133171885"
"","MI","WAYNE","26","163","12658069","1419","11.21024068"
"","MI","WEXFORD","26","165","228894","38","16.60157103"
"","MN","AITKIN","27","1","112392","",""
"","MN","ANOKA","27","3","2338047","308","13.17338787"
"","MN","BECKER","27","5","229473","32","13.94499571"
"","MN","BELTRAMI","27","7","314078","51","16.23800457"
"","MN","BENTON","27","9","271515","39","14.3638473"
"","MN","BIG STONE","27","11","36522","",""
"","MN","BLUE EARTH","27","13","449971","47","10.44511757"
"","MN","BROWN","27","15","179463","23","12.81601221"
"","MN","CARLTON","27","17","247381","47","18.99903388"
"","MN","CARVER","27","19","649779","66","10.15729964"
"","MN","CASS","27","21","199638","25","12.52266603"
"","MN","CHIPPEWA","27","23","85901","",""
"","MN","CHISAGO","27","25","375482","50","13.31621756"
"","MN","CLAY","27","27","416508","44","10.56402278"
"","MN","CLEARWATER","27","29","60908","",""
"","MN","COOK","27","31","36444","",""
"","MN","COTTONWOOD","27","33","81704","",""
"","MN","CROW WING","27","35","438877","55","12.53198504"
"","MN","DAKOTA","27","37","2817817","328","11.64021652"
"","MN","DODGE","27","39","140968","28","19.86266387"
"","MN","DOUGLAS","27","41","254250","26","10.22615536"
"","MN","FARIBAULT","27","43","101176","",""
"","MN","FILLMORE","27","45","146151","",""
"","MN","FREEBORN","27","47","217799","26","11.9376122"
"","MN","GOODHUE","27","49","323633","49","15.1406068"
"","MN","GRANT","27","51","42041","",""
"","MN","HENNEPIN","27","53","8200590","869","10.59679852"
"","MN","HOUSTON","27","55","132535","",""
"","MN","HUBBARD","27","57","143339","28","19.53411144"
"","MN","ISANTI","27","59","266550","30","11.25492403"
"","MN","ITASCA","27","61","316460","55","17.37976364"
"","MN","JACKSON","27","63","71936","",""
"","MN","KANABEC","27","65","113251","",""
"","MN","KANDIYOHI","27","67","295472","30","10.15324633"
"","MN","KITTSON","27","69","31691","",""
"","MN","KOOCHICHING","27","71","92408","",""
"","MN","LAC QUI PARLE","27","73","50151","",""
"","MN","LAKE","27","75","75703","",""
"","MN","LAKE OF THE WOODS","27","77","28056","",""
"","MN","LE SUEUR","27","79","194146","24","12.36183079"
"","MN","LINCOLN","27","81","40951","",""
"","MN","LYON","27","83","180036","",""
"","MN","MC LEOD","27","85","254484","34","13.36036843"
"","MN","MAHNOMEN","27","87","38162","",""
"","MN","MARSHALL","27","89","66275","",""
"","MN","MARTIN","27","91","144295","23","15.93956825"
"","MN","MEEKER","27","93","162482","21","12.92450856"
"","MN","MILLE LACS","27","95","181766","27","14.85426317"
"","MN","MORRISON","27","97","231660","36","15.54001554"
"","MN","MOWER","27","99","274221","32","11.66941992"
"","MN","MURRAY","27","101","60497","",""
"","MN","NICOLLET","27","103","229409","25","10.89756723"
"","MN","NOBLES","27","105","150373","",""
"","MN","NORMAN","27","107","47287","",""
"","MN","OLMSTED","27","109","1021952","104","10.17660321"
"","MN","OTTER TAIL","27","111","402152","59","14.67106965"
"","MN","PENNINGTON","27","113","97902","",""
"","MN","PINE","27","115","206037","34","16.50189044"
"","MN","PIPESTONE","27","117","66303","",""
"","MN","POLK","27","119","220687","33","14.95330491"
"","MN","POPE","27","121","76874","",""
"","MN","RAMSEY","27","123","3615071","397","10.98180368"
"","MN","RED LAKE","27","125","28599","",""
"","MN","REDWOOD","27","127","111308","",""
"","MN","RENVILLE","27","129","108427","23","21.21242864"
"","MN","RICE","27","131","450908","47","10.42341231"
"","MN","ROCK","27","133","67212","",""
"","MN","ROSEAU","27","135","109567","",""
"","MN","ST LOUIS","27","137","1402786","220","15.68307639"
"","MN","SCOTT","27","139","930238","86","9.244945917"
"","MN","SHERBURNE","27","141","623936","98","15.70673915"
"","MN","SIBLEY","27","143","105900","",""
"","MN","STEARNS","27","145","1056550","137","12.96673134"
"","MN","STEELE","27","147","255672","32","12.51603617"
"","MN","STEVENS","27","149","68203","",""
"","MN","SWIFT","27","151","67832","",""
"","MN","TODD","27","153","172654","24","13.90063364"
"","MN","TRAVERSE","27","155","24531","",""
"","MN","WABASHA","27","157","150965","",""
"","MN","WADENA","27","159","96446","",""
"","MN","WASECA","27","161","133581","",""
"","MN","WASHINGTON","27","163","1688743","175","10.36273725"
"","MN","WATONWAN","27","165","78045","",""
"","MN","WILKIN","27","167","45993","",""
"","MN","WINONA","27","169","359372","36","10.01747493"
"","MN","WRIGHT","27","171","881403","107","12.13973631"
"","MN","YELLOW MEDICINE","27","173","72077","",""
"","MS","ADAMS","28","1","225579","33","14.62902132"
"","MS","ALCORN","28","3","260002","54","20.76907101"
"","MS","AMITE","28","5","91299","",""
"","MS","ATTALA","28","7","135753","",""
"","MS","BENTON","28","9","60352","",""
"","MS","BOLIVAR","28","11","239313","26","10.86443277"
"","MS","CALHOUN","28","13","104060","",""
"","MS","CARROLL","28","15","73386","",""
"","MS","CHICKASAW","28","17","121952","",""
"","MS","CHOCTAW","28","19","59263","",""
"","MS","CLAIBORNE","28","21","66778","",""
"","MS","CLARKE","28","23","116016","",""
"","MS","CLAY","28","25","143831","21","14.60046861"
"","MS","COAHOMA","28","27","180476","",""
"","MS","COPIAH","28","29","204241","29","14.19891207"
"","MS","COVINGTON","28","31","136566","22","16.10942694"
"","MS","DE SOTO","28","33","1146709","165","14.38900366"
"","MS","FORREST","28","35","529755","74","13.96872139"
"","MS","FRANKLIN","28","37","55971","",""
"","MS","GEORGE","28","39","159196","",""
"","MS","GREENE","28","41","100280","",""
"","MS","GRENADA","28","43","152563","22","14.42027228"
"","MS","HANCOCK","28","45","311753","72","23.09520678"
"","MS","HARRISON","28","47","1335062","237","17.75198455"
"","MS","HINDS","28","49","1720506","142","8.253385923"
"","MS","HOLMES","28","51","133846","",""
"","MS","HUMPHREYS","28","53","64778","",""
"","MS","ISSAQUENA","28","55","9988","",""
"","MS","ITAWAMBA","28","57","163821","27","16.48140348"
"","MS","JACKSON","28","59","978088","162","16.56292685"
"","MS","JASPER","28","61","118405","",""
"","MS","JEFFERSON","28","63","53951","",""
"","MS","JEFFERSON DAVIS","28","65","85721","",""
"","MS","JONES","28","67","476004","70","14.70575878"
"","MS","KEMPER","28","69","72449","",""
"","MS","LAFAYETTE","28","71","343587","36","10.47769561"
"","MS","LAMAR","28","73","396721","46","11.59505043"
"","MS","LAUDERDALE","28","75","561134","65","11.58368589"
"","MS","LAWRENCE","28","77","89304","",""
"","MS","LEAKE","28","79","164296","22","13.39046599"
"","MS","LEE","28","81","586856","54","9.201575855"
"","MS","LEFLORE","28","83","224681","",""
"","MS","LINCOLN","28","85","243699","31","12.72061026"
"","MS","LOWNDES","28","87","417460","42","10.06084415"
"","MS","MADISON","28","89","679066","85","12.51719273"
"","MS","MARION","28","91","186081","26","13.97240986"
"","MS","MARSHALL","28","93","257832","37","14.35042974"
"","MS","MONROE","28","95","256727","29","11.29604599"
"","MS","MONTGOMERY","28","97","75202","",""
"","MS","NESHOBA","28","99","207242","31","14.95835786"
"","MS","NEWTON","28","101","152036","25","16.44347391"
"","MS","NOXUBEE","28","103","79708","",""
"","MS","OKTIBBEHA","28","105","337048","34","10.08758396"
"","MS","PANOLA","28","107","242262","47","19.40048377"
"","MS","PEARL RIVER","28","109","389197","65","16.70105371"
"","MS","PERRY","28","111","85450","",""
"","MS","PIKE","28","113","281630","39","13.84795654"
"","MS","PONTOTOC","28","115","211051","34","16.10985023"
"","MS","PRENTISS","28","117","177781","24","13.49975532"
"","MS","QUITMAN","28","119","56394","",""
"","MS","RANKIN","28","121","1006271","137","13.6146227"
"","MS","SCOTT","28","123","197710","23","11.63320014"
"","MS","SHARKEY","28","125","34176","",""
"","MS","SIMPSON","28","127","192317","27","14.0393205"
"","MS","SMITH","28","129","114608","",""
"","MS","STONE","28","131","124088","",""
"","MS","SUNFLOWER","28","133","202184","21","10.38657856"
"","MS","TALLAHATCHIE","28","135","106143","",""
"","MS","TATE","28","137","199410","30","15.04438092"
"","MS","TIPPAH","28","139","154542","36","23.29463835"
"","MS","TISHOMINGO","28","141","136734","29","21.20906285"
"","MS","TUNICA","28","143","74705","",""
"","MS","UNION","28","145","191664","32","16.69588446"
"","MS","WALTHALL","28","147","106801","",""
"","MS","WARREN","28","149","338420","53","15.66101294"
"","MS","WASHINGTON","28","151","354035","29","8.191280523"
"","MS","WAYNE","28","153","144755","",""
"","MS","WEBSTER","28","155","70721","",""
"","MS","WILKINSON","28","157","67484","",""
"","MS","WINSTON","28","159","132965","",""
"","MS","YALOBUSHA","28","161","87879","",""
"","MS","YAZOO","28","163","196993","",""
"","MO","ADAIR","29","1","179176","28","15.62709291"
"","MO","ANDREW","29","3","120765","",""
"","MO","ATCHISON","29","5","39206","",""
"","MO","AUDRAIN","29","7","179656","27","15.02872156"
"","MO","BARRY","29","9","249800","41","16.4131305"
"","MO","BARTON","29","11","86496","",""
"","MO","BATES","29","13","118139","21","17.77567103"
"","MO","BENTON","29","15","132785","33","24.85220469"
"","MO","BOLLINGER","29","17","86831","",""
"","MO","BOONE","29","19","1159456","128","11.03965998"
"","MO","BUCHANAN","29","21","625337","94","15.0318948"
"","MO","BUTLER","29","23","299803","61","20.34669433"
"","MO","CALDWELL","29","25","64583","",""
"","MO","CALLAWAY","29","27","310303","46","14.8242202"
"","MO","CAMDEN","29","29","306556","55","17.94125706"
"","MO","CAPE GIRARDEAU","29","31","534025","80","14.98057207"
"","MO","CARROLL","29","33","64568","",""
"","MO","CARTER","29","35","43649","",""
"","MO","CASS","29","37","698407","110","15.75012851"
"","MO","CEDAR","29","39","97638","25","25.60478502"
"","MO","CHARITON","29","41","54212","",""
"","MO","CHRISTIAN","29","43","549830","74","13.45870542"
"","MO","CLARK","29","45","49286","",""
"","MO","CLAY","29","47","1573975","237","15.05741832"
"","MO","CLINTON","29","49","144267","27","18.71529872"
"","MO","COLE","29","51","532172","80","15.03273378"
"","MO","COOPER","29","53","123004","21","17.07261552"
"","MO","CRAWFORD","29","55","172988","27","15.60801905"
"","MO","DADE","29","57","54249","",""
"","MO","DALLAS","29","59","116978","25","21.37153995"
"","MO","DAVIESS","29","61","58312","",""
"","MO","DE KALB","29","63","89792","",""
"","MO","DENT","29","65","109384","23","21.02684122"
"","MO","DOUGLAS","29","67","95509","",""
"","MO","DUNKLIN","29","69","223027","51","22.86718648"
"","MO","FRANKLIN","29","71","710938","143","20.11427157"
"","MO","GASCONADE","29","73","105584","",""
"","MO","GENTRY","29","75","47512","",""
"","MO","GREENE","29","77","1947995","285","14.6304277"
"","MO","GRUNDY","29","79","71809","",""
"","MO","HARRISON","29","81","61922","",""
"","MO","HENRY","29","83","155267","33","21.25371135"
"","MO","HICKORY","29","85","66248","",""
"","MO","HOLT","29","87","33322","",""
"","MO","HOWARD","29","89","71243","",""
"","MO","HOWELL","29","91","281962","73","25.89001355"
"","MO","IRON","29","93","73532","",""
"","MO","JACKSON","29","95","4726262","755","15.97456933"
"","MO","JASPER","29","97","816203","144","17.64266978"
"","MO","JEFFERSON","29","99","1536613","273","17.76634715"
"","MO","JOHNSON","29","101","373529","52","13.92127519"
"","MO","KNOX","29","103","28624","",""
"","MO","LACLEDE","29","105","248512","45","18.10777749"
"","MO","LAFAYETTE","29","107","231997","34","14.65536192"
"","MO","LAWRENCE","29","109","268749","37","13.76749309"
"","MO","LEWIS","29","111","71293","",""
"","MO","LINCOLN","29","113","371238","64","17.23961448"
"","MO","LINN","29","115","88042","",""
"","MO","LIVINGSTON","29","117","105288","",""
"","MO","MC DONALD","29","119","160292","28","17.46812068"
"","MO","MACON","29","121","108616","34","31.30293879"
"","MO","MADISON","29","123","86500","",""
"","MO","MARIES","29","125","63801","",""
"","MO","MARION","29","127","201477","28","13.89736794"
"","MO","MERCER","29","129","26211","",""
"","MO","MILLER","29","131","174256","",""
"","MO","MISSISSIPPI","29","133","99636","",""
"","MO","MONITEAU","29","135","109549","",""
"","MO","MONROE","29","137","61843","",""
"","MO","MONTGOMERY","29","139","84721","",""
"","MO","MORGAN","29","141","142885","21","14.69713406"
"","MO","NEW MADRID","29","143","130565","",""
"","MO","NEWTON","29","145","408928","62","15.16159324"
"","MO","NODAWAY","29","147","162743","",""
"","MO","OREGON","29","149","76255","",""
"","MO","OSAGE","29","151","96702","",""
"","MO","OZARK","29","153","67441","",""
"","MO","PEMISCOT","29","155","127025","21","16.5321787"
"","MO","PERRY","29","157","133239","",""
"","MO","PETTIS","29","159","294494","35","11.88479222"
"","MO","PHELPS","29","161","314037","47","14.96638931"
"","MO","PIKE","29","163","130039","",""
"","MO","PLATTE","29","165","635563","84","13.21662841"
"","MO","POLK","29","167","217450","32","14.71602667"
"","MO","PULASKI","29","169","365049","49","13.42285556"
"","MO","PUTNAM","29","171","34582","",""
"","MO","RALLS","29","173","71339","",""
"","MO","RANDOLPH","29","175","176965","30","16.95250473"
"","MO","RAY","29","177","163154","39","23.90379641"
"","MO","REYNOLDS","29","179","46581","",""
"","MO","RIPLEY","29","181","98347","",""
"","MO","ST CHARLES","29","183","2555801","310","12.12926985"
"","MO","ST CLAIR","29","185","67484","",""
"","MO","STE GENEVIEVE","29","186","126448","",""
"","MO","ST FRANCOIS","29","187","458049","67","14.62725604"
"","MO","ST LOUIS","29","189","6999137","921","13.15876514"
"","MO","SALINE","29","195","162966","",""
"","MO","SCHUYLER","29","197","30730","",""
"","MO","SCOTLAND","29","199","33987","",""
"","MO","SCOTT","29","201","274096","45","16.41760551"
"","MO","SHANNON","29","203","58663","",""
"","MO","SHELBY","29","205","43886","",""
"","MO","STODDARD","29","207","209158","34","16.25565362"
"","MO","STONE","29","209","222456","41","18.430611"
"","MO","SULLIVAN","29","211","46179","",""
"","MO","TANEY","29","213","365670","50","13.67353078"
"","MO","TEXAS","29","215","180354","32","17.74288344"
"","MO","VERNON","29","217","146892","26","17.70007897"
"","MO","WARREN","29","219","228470","34","14.88160371"
"","MO","WASHINGTON","29","221","175818","26","14.78801943"
"","MO","WAYNE","29","223","94040","23","24.45767758"
"","MO","WEBSTER","29","225","254163","46","18.09862175"
"","MO","WORTH","29","227","14896","",""
"","MO","WRIGHT","29","229","130318","28","21.48590371"
"","MO","ST LOUIS CITY","29","510","2230468","276","12.37408472"
"","MT","BEAVERHEAD","30","1","64833","",""
"","MT","BIG HORN","30","3","90654","",""
"","MT","BLAINE","30","5","45731","",""
"","MT","BROADWATER","30","7","39217","",""
"","MT","CARBON","30","9","70965","",""
"","MT","CARTER","30","11","8166","",""
"","MT","CASCADE","30","13","570796","125","21.89924246"
"","MT","CHOUTEAU","30","15","40865","",""
"","MT","CUSTER","30","17","82505","23","27.87709836"
"","MT","DANIELS","30","19","12311","",""
"","MT","DAWSON","30","21","64062","",""
"","MT","DEER LODGE","30","23","64829","25","38.56298879"
"","MT","FALLON","30","25","20708","",""
"","MT","FERGUS","30","27","80506","",""
"","MT","FLATHEAD","30","29","643061","136","21.14884902"
"","MT","GALLATIN","30","31","643571","107","16.62598221"
"","MT","GARFIELD","30","33","8783","",""
"","MT","GLACIER","30","35","94533","",""
"","MT","GOLDEN VALLEY","30","37","6062","",""
"","MT","GRANITE","30","39","21758","",""
"","MT","HILL","30","41","113996","22","19.29892277"
"","MT","JEFFERSON","30","43","79886","",""
"","MT","JUDITH BASIN","30","45","14270","",""
"","MT","LAKE","30","47","202079","57","28.20679041"
"","MT","LEWIS AND CLARK","30","49","448084","85","18.96965747"
"","MT","LIBERTY","30","51","16356","",""
"","MT","LINCOLN","30","53","136481","41","30.04081154"
"","MT","MC CONE","30","55","11958","",""
"","MT","MADISON","30","57","53973","",""
"","MT","MEAGHER","30","59","13231","",""
"","MT","MINERAL","30","61","29540","",""
"","MT","MISSOULA","30","63","771391","181","23.46410575"
"","MT","MUSSELSHELL","30","65","32073","",""
"","MT","PARK","30","67","109892","37","33.66942089"
"","MT","PETROLEUM","30","69","3452","",""
"","MT","PHILLIPS","30","71","29381","",""
"","MT","PONDERA","30","73","43263","",""
"","MT","POWDER RIVER","30","75","12276","",""
"","MT","POWELL","30","77","49191","",""
"","MT","PRAIRIE","30","79","8080","",""
"","MT","RAVALLI","30","81","283267","84","29.65400135"
"","MT","RICHLAND","30","83","72545","",""
"","MT","ROOSEVELT","30","85","74754","35","46.82023704"
"","MT","ROSEBUD","30","87","64910","24","36.97427207"
"","MT","SANDERS","30","89","79786","23","28.82711253"
"","MT","SHERIDAN","30","91","24531","",""
"","MT","SILVER BOW","30","93","240093","77","32.07090586"
"","MT","STILLWATER","30","95","64096","22","34.32351473"
"","MT","SWEET GRASS","30","97","25634","",""
"","MT","TETON","30","99","42561","",""
"","MT","TOOLE","30","101","36348","",""
"","MT","TREASURE","30","103","5033","",""
"","MT","VALLEY","30","105","52358","",""
